FECHA,N1,N2,N3,N4,N5,N6,Complementario,Reintegro
6/06/2024,5,14,15,42,44,49,16,5
3/06/2024,14,18,35,37,47,49,28,8
1/06/2024,8,12,19,20,24,35,49,0
30/05/2024,5,11,19,23,29,41,12,0
27/05/2024,9,14,31,41,42,43,23,6
25/05/2024,1,3,15,16,20,21,33,9
23/05/2024,1,9,11,36,38,45,10,7
20/05/2024,3,10,14,16,28,35,34,3
18/05/2024,6,20,26,32,38,40,11,1
16/05/2024,13,20,29,31,36,39,12,8
13/05/2024,10,15,19,20,27,49,23,2
11/05/2024,5,31,36,38,40,42,15,8
9/05/2024,11,16,22,31,37,42,44,8
6/05/2024,16,18,27,29,35,37,2,5
4/05/2024,4,5,8,14,17,18,21,6
2/05/2024,17,22,26,29,44,48,42,3
29/04/2024,1,11,24,35,42,43,10,3
27/04/2024,2,3,24,33,48,49,8,0
25/04/2024,1,21,22,29,41,44,37,1
22/04/2024,4,14,22,29,35,42,40,1
20/04/2024,10,12,28,40,43,44,20,2
18/04/2024,4,13,15,29,34,36,48,5
15/04/2024,18,21,23,24,30,32,6,7
13/04/2024,2,3,10,19,26,35,9,4
11/04/2024,4,9,18,38,41,47,21,3
8/04/2024,15,16,19,23,39,43,41,1
6/04/2024,7,10,28,31,34,44,11,1
4/04/2024,3,9,23,31,34,37,28,5
1/04/2024,5,7,14,21,34,44,20,6
30/03/2024,14,26,29,37,38,48,42,8
28/03/2024,6,7,16,26,36,49,27,1
25/03/2024,1,25,28,38,41,44,7,7
23/03/2024,5,23,27,30,32,46,7,7
21/03/2024,4,17,31,39,48,49,32,8
18/03/2024,1,16,24,29,40,41,34,9
16/03/2024,6,14,16,19,39,43,34,2
14/03/2024,1,7,10,18,41,43,13,2
11/03/2024,6,16,21,30,33,43,47,6
9/03/2024,2,9,12,15,17,33,43,5
7/03/2024,1,3,6,11,22,47,32,8
4/03/2024,4,8,30,43,47,48,23,3
2/03/2024,2,10,22,23,33,42,43,3
29/02/2024,4,18,21,25,35,45,29,9
26/02/2024,1,24,29,30,44,47,17,7
24/02/2024,1,14,20,30,47,49,5,6
22/02/2024,4,6,10,17,26,37,18,8
19/02/2024,3,13,18,31,33,35,4,7
17/02/2024,2,12,16,20,32,33,48,8
15/02/2024,10,13,23,33,36,45,28,2
12/02/2024,5,18,20,29,31,37,9,6
